Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Xe-118,Xe,54,118,,117.91619840782188,False,228.0,3.80 m,3.8,m,1,['β+&EC'],[np.float64(1.0)],['I-118'],963998.0,963998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir-171,Ir,77,171,,170.97168928738645,False,3.5,3.50 s,3.5,s,3,"['β+&EC', 'α', 'p']","[np.float64(0.25), np.float64(0.5), np.float64(0.25)]","['Os-171', 'Re-167', 'Os-170']",655000.0,655000.0,3040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf-166,Hf,72,166,,165.94228249184033,False,406.2,6.77 m,6.77,m,2,"['β+&EC', 'β+&EC']","[np.float64(0.6261739), np.float64(0.373826)]","['Lu-166M', 'Lu-166N']",211570.3,41649.21,0.0,1872000.0,134700.0,0.0,0.0,0.0,0.0,0.0,0.0,2122000.0
Ni-50,Ni,28,50,,49.995946846702225,False,0.012,12.00 ms,12.0,ms,2,"['β+&EC', 'β+,p']","[np.float64(0.3), np.float64(0.7)]","['Co-50', 'Fe-49']",3722850.0,3722850.0,2362850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zr-85M,Zr,40,85,M,84.92149642218024,False,10.9,10.90 s,10.9,s,2,"['β+&EC', 'IT']","[np.float64(0.08), np.float64(0.92)]","['Y-85', 'Zr-85']",400874.4,132234.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy-150,Dy,66,150,,149.92568658584457,False,430.2,7.17 m,7.17,m,2,"['α', 'β+&EC']","[np.float64(0.36), np.float64(0.64)]","['Gd-146', 'Tb-150']",278233.8,6615.579,1434140.0,865500.0,254200.0,0.0,0.0,0.0,1397000.0,0.0,0.0,2585000.0
Hf-174,Hf,72,174,,173.9400903259754,False,6.31152e+22,2.00 Py,2.0,Py,1,['α'],[np.float64(1.0)],['Yb-170'],0.0,0.0,2557471.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,2493000.0
Tm-158,Tm,69,158,,157.93701053466827,False,238.8,3.98 m,3.98,m,1,['β+&EC'],[np.float64(1.0)],['Er-158'],1740757.0,1594465.0,0.0,3333000.0,990300.0,0.0,0.0,0.0,0.0,0.0,0.0,6600000.0
Rn-201,Rn,86,201,,200.9957207375697,False,7.0,7.00 s,7.0,s,2,"['α', 'β+&EC']","[np.float64(0.5), np.float64(0.5)]","['Po-197', 'At-201']",1119553.0,1119553.0,3430435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-132,I,53,132,,131.90799964024274,False,8262.0,2.29 h,2.295,h,1,['β-'],[np.float64(1.0)],['Xe-132'],2262664.0,493648.5,0.0,836500.0,2262000.0,0.0,485700.0,0.0,0.0,0.0,0.0,3581000.0
Ge-60,Ge,32,60,,59.97021411442131,False,0.03,30.00 ms,30.0,ms,2,"['β+&EC', '2p']","[np.float64(0.5), np.float64(0.5)]","['Ga-60', 'Zn-58']",2029167.0,2029167.0,55500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tb-146,Tb,65,146,,145.92733743467844,False,8.0,8.00 s,8.0,s,1,['β+&EC'],[np.float64(1.0)],['Gd-146'],1327322.0,2993797.0,0.0,3968000.0,374500.0,0.0,0.0,0.0,0.0,0.0,0.0,8320000.0
As-64,As,33,64,,63.95759907404529,False,0.036,36.00 ms,36.0,ms,1,['β+&EC'],[np.float64(1.0)],['Ge-64'],4987667.0,4987667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-26,F,9,26,,26.019620220712778,False,0.0096,9.60 ms,9.6,ms,2,"['β-', 'β-,n']","[np.float64(0.89), np.float64(0.11)]","['Ne-26', 'Ne-25']",5733550.0,5733550.0,338484.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rn-226,Rn,86,226,,226.03099460280026,False,444.0,7.40 m,7.4,m,1,['β-'],[np.float64(1.0)],['Fr-226'],467000.0,467000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th-224,Th,90,224,,224.02153164140947,False,1.05,1.05 s,1.05,s,1,['α'],[np.float64(1.0)],['Ra-220'],23157.91,12634.63,7222348.0,0.0,21040.0,0.0,0.0,0.0,7096000.0,0.0,0.0,7304000.0
Cm-244,Cm,96,244,,244.0628028622559,False,571508100.0,18.11 y,18.10999885922884,y,2,"['SF', 'α']","[np.float64(1.38e-06), np.float64(0.9999986)]","['X', 'Pu-240']",1743.245,7647.74,5891681.0,0.0,16.18,0.0,0.0,0.0,5796000.0,0.0,0.0,5902000.0
Pb-199M,Pb,82,199,M,198.97294339454533,False,732.0,12.20 m,12.2,m,2,"['β+&EC', 'IT']","[np.float64(0.07), np.float64(0.93)]","['Tl-199', 'Pb-199']",461213.0,65963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
